,make,model,mileage,fuel-type,first-registration,price
119,mercedes-benz,a 250,75000,b,08-2015,22500
120,mercedes-benz,a 250,53000,2,11-2020,37500
121,mercedes-benz,a 250,59000,b,01-2019,42000
122,mercedes-benz,a 250,42346,2,01-2021,35000
123,mercedes-benz,a 250,57800,b,03-2016,29700
124,mercedes-benz,a 250,53000,2,12-2020,36500
125,mercedes-benz,a 250,96000,b,09-2016,23500
126,mercedes-benz,a 250,20319,2,06-2022,35200
127,mercedes-benz,a 250,59281,2,10-2020,33900
128,mercedes-benz,a 250,59281,2,10-2020,33900
129,mercedes-benz,a 250,67000,2,11-2020,32700
130,mercedes-benz,a 250,45000,2,11-2020,32000
131,mercedes-benz,a 250,39000,b,12-2018,34900
132,mercedes-benz,a 250,39308,o,02-2020,31500
133,mercedes-benz,a 250,54646,2,08-2021,35900
134,mercedes-benz,a 250,55000,2,09-2020,31900
135,mercedes-benz,a 250,33000,2,01-2021,39000
136,mercedes-benz,a 250,50591,b,05-2020,34800
137,mercedes-benz,a 250,50591,b,05-2020,34800
138,mercedes-benz,a 250,30000,2,09-2021,37000
139,mercedes-benz,a 250,35000,b,11-2019,36500
140,mercedes-benz,a 250,20319,2,06-2022,35200
141,mercedes-benz,a 250,37000,2,10-2021,36000
142,mercedes-benz,a 250,0,2,new,45750
143,mercedes-benz,a 250,11200,2,06-2022,35200
144,mercedes-benz,a 250,41000,2,01-2021,36500
145,mercedes-benz,a 250,11200,2,06-2022,35200
146,mercedes-benz,a 250,37000,b,09-2019,38000
147,mercedes-benz,a 250,36500,2,07-2020,37000
148,mercedes-benz,a 250,39000,b,11-2020,29900
149,mercedes-benz,a 250,47000,b,12-2018,36000
150,mercedes-benz,a 250,8679,2,12-2021,34300
151,mercedes-benz,a 250,33000,b,01-2020,40000
152,mercedes-benz,a 250,11000,b,01-2020,35900
153,mercedes-benz,a 250,39597,2,07-2020,33600
154,mercedes-benz,a 250,47588,2,03-2021,36200
155,mercedes-benz,a 250,65000,2,01-2021,32499
156,mercedes-benz,a 250,17930,2,08-2022,39500
157,mercedes-benz,a 250,17930,2,08-2022,39500
158,mercedes-benz,a 250,0,2,new,44600
159,mercedes-benz,a 250,79000,b,10-2018,29500
160,mercedes-benz,a 250,31800,2,11-2020,32400
161,mercedes-benz,a 250,67000,b,12-2018,30000
162,mercedes-benz,a 250,27500,b,11-2020,34900
163,mercedes-benz,a 250,34062,2,08-2020,31800
164,mercedes-benz,a 250,35000,2,08-2021,38000
165,mercedes-benz,a 250,55000,2,04-2021,37000
166,mercedes-benz,a 250,39597,2,07-2020,33600
167,mercedes-benz,a 250,22384,2,06-2022,36100
168,mercedes-benz,a 250,22384,2,06-2022,36100
169,mercedes-benz,a 250,55000,b,03-2017,28990
170,mercedes-benz,a 250,95151,2,11-2020,26400
171,mercedes-benz,a 250,66000,2,11-2020,27900
172,mercedes-benz,a 250,29000,2,07-2021,37000
173,mercedes-benz,a 250,42949,2,12-2020,35900
174,mercedes-benz,a 250,109000,b,04-2013,22000
175,mercedes-benz,a 250,62071,b,05-2017,27514
176,mercedes-benz,a 250,26943,2,02-2020,37900
177,mercedes-benz,a 250,48882,2,12-2020,33500
178,mercedes-benz,a 250,39269,2,06-2020,35900
179,mercedes-benz,a 250,119000,b,05-2013,23000
180,mercedes-benz,a 250,16228,2,07-2022,39400
181,mercedes-benz,a 250,128000,b,01-2016,21000
182,mercedes-benz,a 250,39269,2,06-2020,35900
183,mercedes-benz,a 250,31550,2,11-2020,29490
184,mercedes-benz,a 250,47588,2,03-2021,36200
185,mercedes-benz,a 250,38545,b,01-2019,33500
186,mercedes-benz,a 250,190000,b,03-2014,15400
